param_trial_261: mean reward 31.031149999999997, mean std_error 5.744280843572162
param_trial_262: mean reward 42.636900000000004, mean std_error 7.911895004413289
param_trial_263: mean reward 45.937374999999996, mean std_error 9.986365057937302
param_trial_264: mean reward 22.309925000000003, mean std_error 1.1780262912673196
param_trial_265: mean reward 22.301824999999997, mean std_error 1.1730057232828506
param_trial_266: mean reward 22.232650000000003, mean std_error 1.1673510392761648
param_trial_267: mean reward 42.09115, mean std_error 7.567856770665778
param_trial_268: mean reward 30.823225, mean std_error 5.927016991323231
param_trial_269: mean reward 38.4364, mean std_error 7.5294131964274085
param_trial_270: mean reward 31.541, mean std_error 5.859211605845201
param_trial_271: mean reward 48.2263, mean std_error 8.058367797381356
param_trial_272: mean reward 55.877025, mean std_error 11.303670996499914
param_trial_273: mean reward 33.94945, mean std_error 6.824378803395603
param_trial_274: mean reward 31.270675, mean std_error 6.043400662762083
param_trial_275: mean reward 32.888000000000005, mean std_error 5.442444538862023
param_trial_276: mean reward 22.209775, mean std_error 1.134088820534969
param_trial_277: mean reward 22.232925, mean std_error 1.1720287836948486
param_trial_278: mean reward 22.420299999999997, mean std_error 1.1893973068098622
param_trial_279: mean reward 33.478825, mean std_error 5.459951952551246
param_trial_280: mean reward 35.7248, mean std_error 5.810094902948751
param_trial_281: mean reward 31.558500000000002, mean std_error 5.9129131693483785
param_trial_282: mean reward 31.506075, mean std_error 5.980120650354843
param_trial_283: mean reward 38.152025, mean std_error 6.250748254414261
param_trial_284: mean reward 38.763575, mean std_error 7.390228369099616
param_trial_285: mean reward 29.644074999999997, mean std_error 5.750524680086975
param_trial_286: mean reward 43.16817499999999, mean std_error 11.224542820549267
param_trial_287: mean reward 37.717325, mean std_error 6.733657978468782
param_trial_288: mean reward 22.200575, mean std_error 1.1677744818919293
param_trial_289: mean reward 22.21915, mean std_error 1.1720950916868282
param_trial_290: mean reward 22.2291, mean std_error 1.1589553552855514
param_trial_291: mean reward 25.011075, mean std_error 4.233622344069727
param_trial_292: mean reward 43.78005, mean std_error 7.696746418388957
param_trial_293: mean reward 40.4647, mean std_error 7.461545867061077
param_trial_294: mean reward 40.326875, mean std_error 8.94014556429491
param_trial_295: mean reward 30.422375000000002, mean std_error 8.11928572895881
param_trial_296: mean reward 43.23332500000001, mean std_error 9.350986475081607
param_trial_297: mean reward 38.41525, mean std_error 9.46790999009773
param_trial_298: mean reward 39.50772500000001, mean std_error 9.360515587302297
param_trial_299: mean reward 33.49795, mean std_error 6.005713778061477
param_trial_300: mean reward 22.19335, mean std_error 1.169404087912235
param_trial_301: mean reward 22.289775, mean std_error 1.1744971894791938
param_trial_302: mean reward 22.27605, mean std_error 1.1730878396114146
param_trial_303: mean reward 27.966974999999998, mean std_error 5.254200183120881
param_trial_304: mean reward 33.601974999999996, mean std_error 6.864817284032267
param_trial_305: mean reward 48.153525, mean std_error 7.132679517460383
param_trial_306: mean reward 37.411375, mean std_error 7.573624038299658
param_trial_307: mean reward 31.054274999999997, mean std_error 7.755619518591898
param_trial_308: mean reward 34.302350000000004, mean std_error 7.247438888375
param_trial_309: mean reward 52.972925, mean std_error 9.851270266554241
param_trial_310: mean reward 36.3165, mean std_error 8.774319980714145
param_trial_311: mean reward 48.946650000000005, mean std_error 9.691489215033366
param_trial_312: mean reward 22.379925000000004, mean std_error 1.178975750957631
param_trial_313: mean reward 22.245949999999997, mean std_error 1.1353987891942081
param_trial_314: mean reward 22.2679, mean std_error 1.1490584481847637
param_trial_315: mean reward 54.05905, mean std_error 10.989845693795692
param_trial_316: mean reward 33.891325, mean std_error 7.321659939749192
param_trial_317: mean reward 28.133074999999998, mean std_error 5.604126799734075
param_trial_318: mean reward 37.1609, mean std_error 9.846969326315678
param_trial_319: mean reward 47.061325000000004, mean std_error 8.213422830297029
param_trial_320: mean reward 29.004749999999998, mean std_error 5.53127137471047
param_trial_321: mean reward 38.44777499999999, mean std_error 9.080511194519973
param_trial_322: mean reward 44.519825, mean std_error 7.693128281788977
param_trial_323: mean reward 44.094575000000006, mean std_error 10.33188970928775
param_trial_324: mean reward 22.179399999999998, mean std_error 1.1520191113550968
param_trial_325: mean reward 22.166725, mean std_error 1.1434441800547248
param_trial_326: mean reward 22.23635, mean std_error 1.1345161356482556
param_trial_327: mean reward 32.049225, mean std_error 5.724737561384691
param_trial_328: mean reward 31.613275, mean std_error 5.071029543428715
param_trial_329: mean reward 44.932775, mean std_error 9.994276720063489
param_trial_330: mean reward 37.86935, mean std_error 8.24366248584292
param_trial_331: mean reward 37.83695, mean std_error 8.149916573539404
param_trial_332: mean reward 29.2515, mean std_error 5.00638160254749
param_trial_333: mean reward 41.028025, mean std_error 8.553514116005333
param_trial_334: mean reward 40.955875, mean std_error 8.35382482247276
param_trial_335: mean reward 44.970949999999995, mean std_error 10.216617668191509
param_trial_336: mean reward 22.18495, mean std_error 1.150184767168006
param_trial_337: mean reward 22.31915, mean std_error 1.169135742897857
param_trial_338: mean reward 22.350299999999997, mean std_error 1.1645381105907022
param_trial_339: mean reward 43.8612, mean std_error 8.951321525114816
param_trial_340: mean reward 32.992875, mean std_error 7.406670968331245
param_trial_341: mean reward 34.063125, mean std_error 7.411717901864052
param_trial_342: mean reward 33.477, mean std_error 6.395678152470989
param_trial_343: mean reward 32.295275000000004, mean std_error 5.026119605444569
param_trial_344: mean reward 49.310475, mean std_error 9.97549133518006
param_trial_345: mean reward 44.582825, mean std_error 9.149545644752136
param_trial_346: mean reward 39.722699999999996, mean std_error 8.54542153498615
param_trial_347: mean reward 41.831475, mean std_error 9.390779460261337
param_trial_348: mean reward 22.249250000000004, mean std_error 1.1574029649173745
param_trial_349: mean reward 22.26525, mean std_error 1.1608475585484812
param_trial_350: mean reward 22.303125000000005, mean std_error 1.1597452143601124
param_trial_351: mean reward 40.648525, mean std_error 8.218692789742278
param_trial_352: mean reward 29.706499999999995, mean std_error 6.178171995090533
param_trial_353: mean reward 24.8294, mean std_error 3.366658661942953
param_trial_354: mean reward 43.961825, mean std_error 9.537892112184357
param_trial_355: mean reward 29.162225000000003, mean std_error 6.521969102739834
param_trial_356: mean reward 24.1552, mean std_error 3.7480244098583255
param_trial_357: mean reward 44.481049999999996, mean std_error 10.307697115763348
param_trial_358: mean reward 36.2038, mean std_error 6.854807684057493
param_trial_359: mean reward 37.073, mean std_error 8.466118741742466
param_trial_360: mean reward 22.2748, mean std_error 1.172533734170358
param_trial_361: mean reward 22.219125000000005, mean std_error 1.1669349885169922
param_trial_362: mean reward 22.244925, mean std_error 1.164471936987395
param_trial_363: mean reward 38.448299999999996, mean std_error 7.322629103302793
param_trial_364: mean reward 44.257875000000006, mean std_error 7.060012788854668
param_trial_365: mean reward 34.794575, mean std_error 6.496758256873959
param_trial_366: mean reward 39.10045, mean std_error 8.460395312287396
param_trial_367: mean reward 41.94115, mean std_error 8.927016108913339
param_trial_368: mean reward 36.505625, mean std_error 6.962642015268182
param_trial_369: mean reward 40.214975, mean std_error 8.274910210481771
param_trial_370: mean reward 32.864075, mean std_error 5.899988365974604
param_trial_371: mean reward 40.141124999999995, mean std_error 8.523081634196664
param_trial_372: mean reward 22.215925000000002, mean std_error 1.1588542937603565
param_trial_373: mean reward 22.118074999999997, mean std_error 1.1486381097761915
param_trial_374: mean reward 22.25565, mean std_error 1.1818029394855265
param_trial_375: mean reward 36.639025000000004, mean std_error 6.0839603211044935
param_trial_376: mean reward 36.884924999999996, mean std_error 7.260653831523798
param_trial_377: mean reward 35.3271, mean std_error 7.094172426052932
param_trial_378: mean reward 20.597574999999996, mean std_error 3.3735474619397623
param_trial_379: mean reward 38.09035, mean std_error 7.872947723961934
param_trial_380: mean reward 39.1582, mean std_error 8.457360237699055
param_trial_381: mean reward 31.495074999999996, mean std_error 6.870080548901343
param_trial_382: mean reward 26.1538, mean std_error 6.9272909084456815
param_trial_383: mean reward 40.349075, mean std_error 7.5853368927057785
param_trial_384: mean reward 22.258225000000003, mean std_error 1.1522986735585843
param_trial_385: mean reward 22.356475, mean std_error 1.1796591652251842
param_trial_386: mean reward 22.352874999999997, mean std_error 1.1611692846761283
param_trial_387: mean reward 35.35515, mean std_error 8.344245918318288
param_trial_388: mean reward 32.01855, mean std_error 5.545531004226952
param_trial_389: mean reward 37.021475, mean std_error 6.496060082205483
param_trial_390: mean reward 44.036475, mean std_error 7.1743521509081525
param_trial_391: mean reward 26.110375000000005, mean std_error 4.87032261960166
param_trial_392: mean reward 32.625724999999996, mean std_error 7.543967761790084
param_trial_393: mean reward 52.585125000000005, mean std_error 10.387736217579063
param_trial_394: mean reward 32.217325, mean std_error 6.951984535640202
param_trial_395: mean reward 37.3509, mean std_error 8.509770382402177
param_trial_396: mean reward 22.263824999999997, mean std_error 1.1610795956498177
param_trial_397: mean reward 22.281599999999997, mean std_error 1.1797363507368426
param_trial_398: mean reward 22.27205, mean std_error 1.15654218472525
param_trial_399: mean reward 33.1882, mean std_error 4.96128364261046
param_trial_400: mean reward 33.869875, mean std_error 6.616793147455614
param_trial_401: mean reward 37.39215, mean std_error 8.25830319301631
param_trial_402: mean reward 36.5465, mean std_error 7.172685075673689
param_trial_403: mean reward 34.789550000000006, mean std_error 7.546027911040209
param_trial_404: mean reward 36.259049999999995, mean std_error 9.334269702139093
param_trial_405: mean reward 45.13055, mean std_error 9.140293385939582
param_trial_406: mean reward 41.3951, mean std_error 9.226764727799452
param_trial_407: mean reward 22.505075, mean std_error 3.7328335976243996
param_trial_408: mean reward 22.2399, mean std_error 1.1605168184813828
param_trial_409: mean reward 22.3695, mean std_error 1.1746951727850499
param_trial_410: mean reward 22.20295, mean std_error 1.1645691296647542
param_trial_411: mean reward 24.90895, mean std_error 4.346770025121725
param_trial_412: mean reward 29.760900000000003, mean std_error 5.978749677547282
param_trial_413: mean reward 29.269724999999998, mean std_error 5.5160324385473745
param_trial_414: mean reward 44.704600000000006, mean std_error 9.422723345306128
param_trial_415: mean reward 51.46172500000001, mean std_error 11.608990998505298
param_trial_416: mean reward 33.7503, mean std_error 7.376604944645689
param_trial_417: mean reward 42.1484, mean std_error 9.55298290470935
param_trial_418: mean reward 27.102250000000005, mean std_error 4.669380739694875
param_trial_419: mean reward 47.479699999999994, mean std_error 10.425562248999418
param_trial_420: mean reward 22.2315, mean std_error 1.1269788143298387
param_trial_421: mean reward 22.341724999999997, mean std_error 1.1717302078491536
param_trial_422: mean reward 22.2749, mean std_error 1.1788644283140937
param_trial_423: mean reward 47.049274999999994, mean std_error 9.708367618265541
param_trial_424: mean reward 28.341650000000005, mean std_error 5.717004804999963
param_trial_425: mean reward 32.98985, mean std_error 7.5429729196781885
param_trial_426: mean reward 23.378449999999997, mean std_error 4.062548343510401
param_trial_427: mean reward 31.065700000000003, mean std_error 6.327176651741402
param_trial_428: mean reward 47.419349999999994, mean std_error 7.9905606597765475
param_trial_429: mean reward 21.711675, mean std_error 3.2468831401293237
param_trial_430: mean reward 47.8008, mean std_error 12.158355648222246
